version,date,text
0.0.1,2022-11-01,"Criação do projeto no [bi-indicadores](https://github.com/DiogoCarapito/bi_indicadores), utilizando o framework Dash em python. Percursor do mgfhub"
0.1.0,2022-12-16,"Piloto completo, pronto a apresentar, implementando no [pythonanywhere.com](pythonanywhere.com)"
0.2.0,2023-02-24,"Mudança de nome do projeto para mgfhub"
1.0.0,2023-04-28,"Deploy na plataforma [render](render.com) da primeira versão de produção do [mgfhub.com](mgfhub.com)"
1.0.1,2023-05-02,"Melhorias de performance do algoritmo de pesquisa"
1.0.2,2023-05-04,"Melhorias de performance com [PageSpeed Insights](https://pagespeed.web.dev) da Google"
1.1.0,2023-06-13,"Implementação de logging das pesquisas com [Supabase](https://supabase.com) para permitir controlo de qualidade"
1.1.1,2023-07-13,"Melhorias na integração com [Supabase](https://supabase.com), para fazer o log apenas a partir dos 3 caracteres ou qualquer número"
1.2.0,2023-11-11,"Implementação de boas práticas de [CD/CI](https://resources.github.com/ci-cd/) (Continuous Delivery, Continuous Integration)"
2.0.0.dev1,2023-12-03,"Criação do branch [/streamlit](https://github.com/DiogoCarapito/mgfhub) com base no framework [Streamlit](https://streamlit.io/)"
2.0.0.dev2,2024-01-06,"Layout com base em [Streamlit](https://streamlit.io/) definido"
2.0.0.dev3,2024-02-10,"Upgrade para [Streamlit](https://streamlit.io/) 1.31, com novas funcionalidades de páginas e navegação"
2.0.0.dev4,2024-02-12,"Preparação para transferir o domínio [mgfhub.com](mgfhub.com) para o novo layout em [Streamlit](https://streamlit.io/)"
2.0.0,2024-02-13,"Lançamento da versão mgfhub 2.0.0 🎉"
2.1.0beta1,2024-02-22,"Versão 2.1.0beta1 🎉 - Ferramenta de analise do IDE disponivel em modo beta! Permite analisar o IDE de forma mais detalhada, com gráficos e tabelas. espeficicos para a Unidade, comparador de equipas e analise para cada profissional"
2.1.0beta2,2024-03-04,"Versão 2.1.0beta2 - Melhorias no User Interface e correção de bugs na introdução de dados vindos do BI-CSP e MIM@UF. Nova localização do tutorial para extrair dados das diferentes plataformas"
2.1.0beta3,2024-03-13,"adicionado o indicador 483 - Avaliação da Satisfação dos Utentes; Correção visualização indicador 404 na zona de equipas"
